timestamp,value,status
2026-01-01 12:52:28.938,0.79,Excellent
2026-01-01 12:52:44.037,0.79,Excellent
2026-01-01 12:52:59.055,0.77,Excellent
2026-01-01 12:53:14.073,0.76,Excellent
2026-01-01 12:53:29.091,0.75,Excellent
2026-01-01 12:53:44.112,0.9,Excellent
2026-01-01 12:53:59.149,0.96,Excellent
2026-01-01 12:54:14.166,1.01,Excellent
2026-01-01 12:54:29.187,1.03,Excellent
2026-01-01 12:54:44.205,1.02,Excellent
2026-01-01 12:54:59.248,1.04,Excellent
2026-01-01 12:55:14.275,1.08,Excellent
2026-01-01 12:55:29.297,1.12,Excellent
2026-01-01 12:55:44.331,1.16,Excellent
2026-01-01 12:55:59.347,1.21,Excellent
2026-01-01 12:56:14.364,1.22,Excellent
2026-01-01 12:56:29.379,0.98,Excellent
2026-01-01 12:56:44.396,1.02,Excellent
2026-01-01 12:56:59.414,1.06,Excellent
2026-01-01 12:57:14.432,1.06,Excellent
2026-01-01 12:57:29.463,1.08,Excellent
2026-01-01 12:57:44.495,1.11,Excellent
2026-01-01 12:57:59.511,1.16,Excellent
2026-01-01 12:58:14.524,1.16,Excellent
2026-01-01 12:58:29.561,1.16,Excellent
2026-01-01 12:58:44.575,1.04,Excellent
2026-01-01 12:58:59.597,1.0,Excellent
2026-01-01 12:59:14.611,0.95,Excellent
2026-01-01 12:59:29.650,0.91,Excellent
2026-01-01 12:59:44.664,0.9,Excellent
2026-01-01 12:59:59.690,0.89,Excellent
2026-01-01 13:00:14.702,0.86,Excellent
2026-01-01 13:00:29.730,0.84,Excellent
2026-01-01 13:00:44.756,0.8,Excellent
2026-01-01 13:00:59.785,0.74,Excellent
2026-01-01 13:01:14.798,0.71,Excellent
2026-01-01 13:01:29.812,0.68,Excellent
2026-01-01 13:01:44.827,0.64,Excellent
2026-01-01 13:01:59.851,0.61,Excellent
2026-01-01 13:02:14.875,0.6,Excellent
2026-01-01 13:02:29.918,0.57,Excellent
2026-01-01 13:02:44.951,0.54,Excellent
2026-01-01 13:02:59.964,0.49,Excellent
2026-01-01 13:03:14.990,0.53,Excellent
2026-01-01 13:03:30.018,0.54,Excellent
2026-01-01 13:03:45.043,0.54,Excellent
2026-01-01 13:04:00.088,0.52,Excellent
2026-01-01 13:04:15.116,0.53,Excellent
2026-01-01 13:04:30.143,0.55,Excellent
2026-01-01 13:04:45.156,0.56,Excellent
2026-01-01 13:05:00.178,0.56,Excellent
2026-01-01 13:05:15.196,0.54,Excellent
2026-01-01 13:05:30.239,0.54,Excellent
2026-01-01 13:05:45.253,0.56,Excellent
2026-01-01 13:06:00.276,0.57,Excellent
2026-01-01 13:06:15.322,0.58,Excellent
2026-01-01 13:06:30.346,0.58,Excellent
2026-01-01 13:06:45.377,0.56,Excellent
2026-01-01 13:07:00.389,0.56,Excellent
2026-01-01 13:07:15.404,0.54,Excellent
2026-01-01 13:07:30.428,0.54,Excellent
2026-01-01 13:07:45.442,0.55,Excellent
2026-01-01 13:08:00.465,0.55,Excellent
2026-01-01 13:08:15.494,0.53,Excellent
2026-01-01 13:08:30.508,0.52,Excellent
2026-01-01 13:08:45.533,0.53,Excellent
2026-01-01 13:16:18.563,1.74,Excellent
2026-01-01 13:16:33.620,1.43,Excellent
2026-01-01 13:16:48.681,1.3,Excellent
2026-01-01 13:17:03.725,1.27,Excellent
2026-01-01 13:17:18.765,1.23,Excellent
2026-01-01 13:17:33.783,1.11,Excellent
2026-01-01 13:17:48.842,1.09,Excellent
2026-01-01 13:18:03.920,1.08,Excellent
2026-01-01 13:18:18.942,1.05,Excellent
2026-01-01 13:18:33.963,1.02,Excellent
2026-01-01 13:18:48.988,0.99,Excellent
2026-01-01 13:19:04.008,0.97,Excellent
2026-01-01 13:19:19.067,0.95,Excellent
2026-01-01 13:19:34.087,0.96,Excellent
2026-01-01 13:19:49.108,0.97,Excellent
2026-01-01 14:07:19.104,0.74,Excellent
2026-01-01 14:07:34.194,0.66,Excellent
2026-01-01 14:07:49.217,0.64,Excellent
2026-01-01 14:08:04.236,0.61,Excellent
2026-01-01 14:08:19.255,0.59,Excellent
2026-01-01 14:08:34.276,0.73,Excellent
2026-01-01 14:08:49.291,0.69,Excellent
2026-01-01 14:09:04.316,0.86,Excellent
2026-01-01 14:09:19.338,0.82,Excellent
2026-01-01 14:09:34.358,0.82,Excellent
2026-01-01 14:09:49.378,0.81,Excellent
2026-01-01 14:10:04.475,0.78,Excellent
2026-01-01 14:10:19.495,0.77,Excellent
2026-01-01 14:10:34.553,0.76,Excellent
2026-01-01 14:10:49.599,0.73,Excellent
2026-01-01 14:11:04.619,0.73,Excellent
2026-01-01 14:11:19.716,0.73,Excellent
2026-01-01 14:11:34.735,0.72,Excellent
2026-01-01 14:11:49.792,0.71,Excellent
2026-01-01 14:12:04.834,0.74,Excellent
2026-01-01 14:12:19.853,0.69,Excellent
2026-01-01 14:12:34.876,0.7,Excellent
2026-01-01 14:12:49.908,0.72,Excellent
2026-01-01 14:13:04.933,0.74,Excellent
2026-01-01 14:13:19.954,0.77,Excellent
2026-01-01 14:13:35.043,0.75,Excellent
2026-01-01 14:13:50.070,0.78,Excellent
2026-01-01 14:14:05.090,0.7,Excellent
2026-01-01 14:14:20.152,0.73,Excellent
2026-01-01 14:14:35.190,0.73,Excellent
2026-01-01 14:14:50.220,0.75,Excellent
2026-01-01 14:15:05.250,0.75,Excellent
2026-01-01 14:15:20.274,0.74,Excellent
2026-01-01 14:15:50.369,0.74,Excellent
2026-01-01 14:16:05.427,0.73,Excellent
2026-01-01 14:16:20.449,0.73,Excellent
2026-01-01 14:16:35.489,0.73,Excellent
2026-01-01 14:16:50.530,0.72,Excellent
2026-01-01 14:17:05.565,0.71,Excellent
2026-01-01 14:17:20.620,0.7,Excellent
2026-01-01 14:17:35.642,0.73,Excellent
2026-01-01 14:17:50.716,0.71,Excellent
2026-01-01 14:18:05.734,0.71,Excellent
2026-01-01 14:18:20.800,0.7,Excellent
2026-01-01 14:18:35.858,0.7,Excellent
2026-01-01 14:18:50.898,0.68,Excellent
2026-01-01 14:19:05.968,0.67,Excellent
2026-01-01 14:19:21.007,0.64,Excellent
2026-01-01 14:19:36.035,0.61,Excellent
2026-01-01 14:19:51.059,0.62,Excellent
2026-01-01 14:20:06.087,0.62,Excellent
2026-01-01 14:20:21.110,0.64,Excellent
2026-01-01 14:20:36.137,0.67,Excellent
2026-01-01 14:20:51.174,0.67,Excellent
2026-01-01 14:21:06.192,0.66,Excellent
2026-01-01 14:21:21.213,0.68,Excellent
2026-01-01 14:21:36.233,0.7,Excellent
2026-01-01 14:21:51.254,0.73,Excellent
2026-01-01 14:22:06.278,0.76,Excellent
2026-01-01 14:22:21.299,0.75,Excellent
2026-01-01 14:22:36.412,0.74,Excellent
2026-01-01 14:22:51.471,0.77,Excellent
